2019-07-01 09:30:00,582 -  Chartered_API.common.http_method - ERROR - UN-support method - [http_method.py:44 ]
2019-07-01 09:30:00,621 -  Chartered_API.common.http_method - ERROR - UN-support method - [http_method.py:44 ]
2019-07-01 09:30:00,623 -  Chartered_API.common.http_method - ERROR - UN-support method - [http_method.py:44 ]
2019-07-01 09:30:00,625 -  Chartered_API.common.http_method - ERROR - UN-support method - [http_method.py:44 ]
2019-07-01 16:30:28,389 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:28,468 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701079', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '李大', 'payTime': '2019-07-01 16:30:28'} - [http_method.py:34 ]
2019-07-01 16:30:28,545 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:28,636 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:28,636 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701352', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '赵七', 'payTime': '2019-07-01 16:30:28'} - [http_method.py:34 ]
2019-07-01 16:30:28,707 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:28,793 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:28,794 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '3', 'toNumber': '20190701716', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '项大', 'payTime': '2019-07-01 16:30:28'} - [http_method.py:34 ]
2019-07-01 16:30:28,841 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:28,942 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:28,942 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '屈二', 'payTime': '2019-07-01 16:30:28'} - [http_method.py:34 ]
2019-07-01 16:30:29,003 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:29,110 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:29,110 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '订单号非数字', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '祝五', 'payTime': '2019-07-01 16:30:29'} - [http_method.py:34 ]
2019-07-01 16:30:29,167 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:29,278 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:29,279 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701652', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '项六', 'payTime': '2019-07-01 16:30:29'} - [http_method.py:34 ]
2019-07-01 16:30:29,338 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:29,464 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:29,464 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701026', 'payType': 8, 'amount': 500.5, 'costType': 1, 'name': '纪三', 'payTime': '2019-07-01 16:30:29'} - [http_method.py:34 ]
2019-07-01 16:30:29,515 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:29,664 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:29,664 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701928', 'payType': '现金', 'amount': 500.5, 'costType': 1, 'name': '王三', 'payTime': '2019-07-01 16:30:29'} - [http_method.py:34 ]
2019-07-01 16:30:29,671 -  Chartered_API.common.http_method - DEBUG - 请求response:<html><head><title>Apache Tomcat/7.0.82 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 400 - </h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u></u></p><p><b>description</b> <u>The request sent by the client was syntactically incorrect.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/7.0.82</h3></body></html> - [http_method.py:47 ]
2019-07-01 16:30:29,674 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:29,674 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701017', 'payType': 1, 'amount': '', 'costType': 1, 'name': '项八', 'payTime': '2019-07-01 16:30:29'} - [http_method.py:34 ]
2019-07-01 16:30:29,731 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:29,864 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:29,864 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701320', 'payType': 1, 'amount': '伍佰元', 'costType': 1, 'name': '金四', 'payTime': '2019-07-01 16:30:29'} - [http_method.py:34 ]
2019-07-01 16:30:29,872 -  Chartered_API.common.http_method - DEBUG - 请求response:<html><head><title>Apache Tomcat/7.0.82 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 400 - </h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u></u></p><p><b>description</b> <u>The request sent by the client was syntactically incorrect.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/7.0.82</h3></body></html> - [http_method.py:47 ]
2019-07-01 16:30:29,874 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:29,874 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701548', 'payType': 1, 'amount': '500.555', 'costType': 1, 'name': '项大', 'payTime': '2019-07-01 16:30:29'} - [http_method.py:34 ]
2019-07-01 16:30:29,940 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:30,091 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:30,091 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701036', 'payType': 1, 'amount': 500.5, 'costType': '', 'name': '舒六', 'payTime': '2019-07-01 16:30:30'} - [http_method.py:34 ]
2019-07-01 16:30:30,162 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:30,317 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:30,317 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701807', 'payType': 1, 'amount': 500.5, 'costType': 3, 'name': '王六', 'payTime': '2019-07-01 16:30:30'} - [http_method.py:34 ]
2019-07-01 16:30:30,382 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:30,562 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:30,562 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701041', 'payType': 1, 'amount': 500.5, 'costType': '定金', 'name': '赵二', 'payTime': '2019-07-01 16:30:30'} - [http_method.py:34 ]
2019-07-01 16:30:30,571 -  Chartered_API.common.http_method - DEBUG - 请求response:<html><head><title>Apache Tomcat/7.0.82 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 400 - </h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u></u></p><p><b>description</b> <u>The request sent by the client was syntactically incorrect.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/7.0.82</h3></body></html> - [http_method.py:47 ]
2019-07-01 16:30:30,572 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
